epoch,accuracy,loss,val_accuracy,val_loss
0,0.8684179186820984,0.3982025980949402,1.0,0.034255482256412506
1,0.9192540049552917,0.2471132129430771,1.0,0.018688468262553215
2,0.92894446849823,0.21782022714614868,1.0,0.03851752728223801
3,0.9357361793518066,0.19526855647563934,1.0,0.030607838183641434
4,0.940299928188324,0.18018220365047455,0.96875,0.06043832749128342
5,0.9442647695541382,0.1686331033706665,0.96875,0.06496873497962952
6,0.9475588202476501,0.15822044014930725,0.96875,0.07055973261594772
7,0.9484092593193054,0.15169906616210938,0.96875,0.032852575182914734
8,0.952422022819519,0.14426147937774658,0.96875,0.053267382085323334
9,0.9527454376220703,0.1390923112630844,0.96875,0.03779085725545883
0,0.8686095476150513,0.39966827630996704,1.0,0.03855990990996361
1,0.9174332618713379,0.25165700912475586,1.0,0.01928306743502617
2,0.928764820098877,0.2200552374124527,1.0,0.012883399613201618
3,0.9357241988182068,0.19759836792945862,1.0,0.006968873552978039
4,0.9412581920623779,0.18100522458553314,1.0,0.01917799562215805
5,0.9453907608985901,0.16794703900814056,1.0,0.001957543659955263
6,0.9464927315711975,0.1598309427499771,1.0,0.007999238558113575
7,0.9494873285293579,0.15137161314487457,1.0,0.008139153942465782
8,0.952505886554718,0.144089937210083,0.96875,0.03805744647979736
9,0.9524939060211182,0.14032107591629028,1.0,0.01818004623055458
0,0.8714603781700134,0.39140355587005615,1.0,0.04618007689714432
1,0.919230043888092,0.24578002095222473,0.96875,0.0589531846344471
2,0.9289564490318298,0.21871814131736755,0.96875,0.06031537428498268
3,0.9353169202804565,0.19921140372753143,0.96875,0.04712284356355667
4,0.9402280449867249,0.1828947216272354,1.0,0.009711235761642456
5,0.9445881843566895,0.16775259375572205,1.0,0.024756338447332382
6,0.9476426839828491,0.15790323913097382,0.96875,0.05307091027498245
7,0.9493435621261597,0.15224005281925201,0.96875,0.054023221135139465
8,0.9520986080169678,0.14422473311424255,1.0,0.015650564804673195
9,0.953032910823822,0.13960233330726624,0.96875,0.06450888514518738
